symbol,timeframe,total_trades,winning_trades,losing_trades,win_rate,total_pnl,roi,profit_factor,max_drawdown,sharpe_ratio,final_balance,avg_hold_days
BTC/USDT,4h,27,12,15,44.44444444444444,859.1502171713288,8.59150217171331,1.9902888207087104,-3.316715250949837,4.307844913428253,10859.150217171331,5.061728395061729
BTC/USDT,12h,1,0,1,0.0,-139.4107859052381,-1.394107859052383,0.0,-1.7708396883528752,0.0,9860.589214094762,15.5
ETH/USDT,4h,24,11,13,45.83333333333333,-79.01235191826356,-0.7901235191826527,0.9359483278500693,-6.825197271311663,-0.4078182653457044,9920.987648081735,3.8958333333333335
ETH/USDT,1d,1,0,1,0.0,-212.97734142790134,-2.129773414279007,0.0,-2.129773414279007,0.0,9787.0226585721,30.0
SOL/USDT,4h,35,17,18,48.57142857142857,427.7005179062969,4.277005179062962,1.1805147741203557,-8.199528597779159,0.9430942576532806,10427.700517906296,2.1333333333333333
BNB/USDT,4h,24,10,14,41.66666666666667,596.6543977463065,5.966543977463043,1.7308495018748116,-2.839995977961652,3.1904466686240953,10596.654397746304,3.9166666666666665
BNB/USDT,12h,2,1,1,50.0,368.3537264555799,3.683537264555816,4.913492397487764,-1.950984177552168,7.428578623030547,10368.353726455582,28.25
