symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,profit_factor,roi,max_drawdown,final_balance,avg_hold_hours,avg_win,avg_loss
SOL/USDT,7,4,3,57.14285714285714,29.43042816252683,3.302447683150111,5.886085632505365,-2.216065487815906,529.4304281625268,120.0,10.55316587763657,-4.260745116006483
BNB/USDT,8,3,5,37.5,7.337926278045689,1.4685698027804692,1.4675852556091513,-1.667801994195996,507.33792627804576,166.0,7.666063044766875,-3.1320525712509877
BTC/USDT,7,0,7,0.0,-14.709983194111977,0.0,-2.9419966388223884,-3.231137809451195,485.29001680588806,88.57142857142857,0.0,-2.1014261705874255
